image_index,mse,annotation
745,0.7688416,correct
746,4.165803,correct
747,0.5672237,correct
748,0.44761425,correct
749,0.8039231,correct
750,1.2670811,correct
751,0.56424224,correct
752,0.38176993,correct
753,0.42053756,correct
754,1.2273688,correct
755,1.8109267,correct
756,0.23274118,correct
757,1.431507,correct
758,1.2511971,correct
759,0.48326495,correct
760,0.8869396,correct
761,0.8648971,correct
762,0.8465479,correct
763,0.7546687,correct
764,0.4829815,correct
765,3.2740552,correct
766,1.0247648,correct
767,0.48872808,correct
768,1157.2612,incorrect
769,3.7591023,correct
770,1.2900288,correct
771,0.75366807,correct
772,186.81467,incorrect
773,0.27466592,correct
774,0.47855225,correct
775,376.23904,incorrect
776,0.67508936,correct
777,0.47262138,correct
778,1.9142455,correct
779,0.5777724,correct
780,1.7358818,correct
781,0.45564282,correct
782,0.43983638,correct
783,41.866436,incorrect
784,0.35269505,correct
785,0.8085991,correct
786,0.6603416,correct
787,0.9878347,correct
788,1.1972163,correct
789,0.4978808,correct
790,1.3173434,correct
791,0.3502308,correct
792,0.40332893,correct
793,1062.853,incorrect
794,0.8702893,correct
795,0.42720917,correct
796,2.2923005,correct
797,0.7131058,correct
798,1.1564798,correct
799,1.5489593,correct
800,0.77155095,correct
801,0.22565217,correct
802,1.7169654,correct
803,0.45955393,correct
804,0.37255096,correct
805,1.0059178,correct
806,0.537131,correct
807,0.87614846,correct
808,0.4491446,correct
809,0.82239914,correct
810,0.69561684,correct
811,2.071105,correct
812,0.3204469,correct
813,1.0127468,correct
814,0.5851778,correct
815,0.30357593,correct
816,0.8601258,correct
817,0.2298891,correct
818,1.0205917,correct
819,0.44072068,correct
820,0.55429494,correct
821,1.2129083,correct
822,0.5886782,correct
823,0.34945932,correct
824,1599.8156,incorrect
825,0.848016,correct
826,0.45755306,correct
827,0.66601986,correct
828,0.5428553,correct
829,0.6223607,correct
830,1.4538774,correct
831,0.36146474,correct
832,2238.0132,incorrect
833,1.6275449,correct
834,0.6051236,correct
835,0.39455372,correct
836,0.96951234,correct
837,0.54443073,correct
838,0.6586027,correct
839,3722.329,incorrect
840,0.35036325,correct
841,0.981349,correct
842,203.26315,incorrect
843,0.6683339,correct
844,0.2530056,correct
845,0.8471944,correct
846,0.30015585,correct
847,0.83390766,correct
848,1.5832341,correct
849,0.94065785,correct
850,0.3917728,correct
851,1.6429709,correct
852,0.9252346,correct
853,1.3717067,correct
854,1.0535684,correct
855,0.5439232,correct
856,0.6652274,correct
