image_index,mse,annotation
691,0.8417152,correct
692,0.65083414,correct
693,0.5965333,correct
694,0.45535132,correct
695,3.9583774,correct
696,0.55849844,correct
697,0.6746156,correct
698,1.1760119,correct
699,0.7382367,correct
700,0.9854599,correct
701,2924.9631,incorrect
702,0.5835313,correct
703,0.36414176,correct
704,0.64569265,correct
705,0.78487176,correct
706,0.6150237,correct
707,0.77758765,correct
708,0.49884945,correct
709,0.16216967,correct
710,0.5707183,correct
711,1.2006415,correct
712,2.1119957,correct
713,0.7995348,correct
714,0.30712065,correct
715,0.7048371,correct
716,1.6196187,correct
717,0.5321175,correct
718,0.38960776,correct
719,2.1201854,correct
720,0.94180024,correct
721,0.67377776,correct
722,1.3492632,correct
723,0.3718171,correct
724,0.90943813,correct
725,80.587074,incorrect
726,0.4092644,correct
727,0.6416596,correct
728,0.6499275,correct
729,0.9755589,correct
730,0.29478583,correct
731,1.4243829,correct
732,0.9483273,correct
733,1.2163451,correct
734,0.34096116,correct
735,0.6951464,correct
736,0.72901857,correct
737,0.6285362,correct
738,0.7525264,correct
739,0.8059972,correct
740,1.1717079,correct
741,0.6359134,correct
742,0.83762825,correct
743,0.77762,correct
744,0.7645055,correct
745,657.0952,incorrect
746,0.31379998,correct
747,0.5499921,correct
748,2140.6077,incorrect
749,0.8602996,correct
750,0.39496744,correct
751,3.802002,correct
752,0.9828192,correct
753,1.1051718,correct
754,0.6570529,correct
755,0.77140665,correct
756,0.64507955,correct
757,0.778029,correct
758,0.240926,correct
759,0.8608463,correct
760,0.33213842,correct
761,0.77794427,correct
762,423.7045,incorrect
763,0.44441846,correct
764,0.37811244,correct
765,0.48422438,correct
766,0.9341889,correct
767,1.073566,correct
768,1.1195722,correct
769,0.7577381,correct
770,0.29450405,correct
771,0.677654,correct
772,0.675055,correct
773,0.90526927,correct
774,0.17154458,correct
775,0.4226911,correct
776,0.4842351,correct
777,1.6685619,correct
778,0.62272006,correct
779,0.34428445,correct
780,0.984993,correct
781,0.65167975,correct
782,0.6039463,correct
783,0.57849514,correct
784,93.20914,incorrect
785,2.1208384,correct
786,0.52167773,correct
787,0.46740764,correct
788,0.45956162,correct
789,0.44683105,correct
790,0.8854368,correct
791,1.6466241,correct
792,2264.418,incorrect
793,0.26992467,correct
794,1546.4996,incorrect
795,0.36442727,correct
796,1.127588,correct
797,0.8990705,correct
798,0.77031666,correct
799,0.60672,correct
800,2.044473,correct
801,2.5971417,correct
802,0.43163794,correct
803,1.1083623,correct
804,2.0163324,correct
805,306.74982,incorrect
806,0.79507905,correct
807,0.33181903,correct
808,0.798734,correct
809,1.5747387,correct
810,0.99622446,correct
811,0.451923,correct
812,0.5657309,correct
813,64.12484,incorrect
814,1.0952961,correct
815,4.0352793,correct
816,0.8086053,correct
817,1.5180144,correct
818,0.4235375,correct
819,0.54919505,correct
820,0.66995084,correct
821,0.19660878,correct
822,2.701603,correct
823,0.4573156,correct
824,0.74879414,correct
825,0.5250057,correct
826,1.0950079,correct
827,0.59506476,correct
828,0.61697525,correct
829,0.22815245,correct
830,1.4065893,correct
831,0.5340715,correct
832,0.956718,correct
833,0.55717325,correct
834,1.2368329,correct
835,3.1308444,correct
836,0.6157548,correct
837,0.9772892,correct
838,0.54196393,correct
839,0.8999518,correct
840,0.38055217,correct
841,0.60871845,correct
842,0.6061429,correct
843,0.837829,correct
844,0.24394864,correct
845,0.8680204,correct
846,1.0605752,correct
847,0.3899794,correct
848,1.1178311,correct
849,1441.7368,incorrect
850,0.5249302,correct
851,0.9962458,correct
852,0.2949518,correct
853,0.66452456,correct
854,1.7270743,correct
855,1.9727137,correct
856,0.6108277,correct
857,0.86927265,correct
858,1.0681742,correct
859,0.47669637,correct
860,0.9363729,correct
861,0.605437,correct
862,1.236438,correct
863,0.6541543,correct
864,0.8304363,correct
865,261.065,incorrect
866,1.1586013,correct
867,0.86525553,correct
868,0.9928736,correct
869,1.052249,correct
870,0.45956534,correct
871,1314.877,incorrect
872,0.8824614,correct
873,1.6849109,correct
874,1.5294726,correct
875,1.422567,correct
876,1.3237174,correct
877,1.1039778,correct
878,0.53848493,correct
879,0.4257095,correct
880,0.31143337,correct
881,0.49225312,correct
882,0.25834712,correct
883,7.360707,incorrect
884,0.3072633,correct
885,0.6800808,correct
886,0.6018732,correct
887,364.7871,incorrect
888,1.3136101,correct
889,608.9862,incorrect
890,0.812726,correct
891,0.80763197,correct
892,341.76364,incorrect
893,0.4311021,correct
894,0.48857892,correct
895,0.36141968,correct
896,1.0864128,correct
897,1.4043717,correct
898,0.58565104,correct
899,1.916208,correct
900,0.5311208,correct
901,0.65119195,correct
902,1.2078563,correct
903,0.98321086,correct
904,0.6255631,correct
905,1.4370258,correct
906,0.5248459,correct
907,0.95377934,correct
908,0.67655647,correct
909,0.77593493,correct
910,0.5316599,correct
911,1.4410523,correct
912,0.9648157,correct
913,0.667451,correct
914,0.812047,correct
915,0.55267406,correct
916,0.6444557,correct
917,1.1335442,correct
918,0.70738685,correct
919,2.1322026,correct
920,0.6881044,correct
921,0.65317523,correct
922,319.30417,incorrect
923,0.50337684,correct
